# 19/06/2023 01:37:00 PM: Prices - EPEX Spot Intraday Market Auction - 15-call_belgium - Currency: EUR
Delivery day,Hour 1 Q1,Hour 1 Q2,Hour 1 Q3,Hour 1 Q4,Hour 2 Q1,Hour 2 Q2,Hour 2 Q3,Hour 2 Q4,Hour 3A Q1,Hour 3A Q2,Hour 3A Q3,Hour 3A Q4,Hour 3B Q1,Hour 3B Q2,Hour 3B Q3,Hour 3B Q4,Hour 4 Q1,Hour 4 Q2,Hour 4 Q3,Hour 4 Q4,Hour 5 Q1,Hour 5 Q2,Hour 5 Q3,Hour 5 Q4,Hour 6 Q1,Hour 6 Q2,Hour 6 Q3,Hour 6 Q4,Hour 7 Q1,Hour 7 Q2,Hour 7 Q3,Hour 7 Q4,Hour 8 Q1,Hour 8 Q2,Hour 8 Q3,Hour 8 Q4,Hour 9 Q1,Hour 9 Q2,Hour 9 Q3,Hour 9 Q4,Hour 10 Q1,Hour 10 Q2,Hour 10 Q3,Hour 10 Q4,Hour 11 Q1,Hour 11 Q2,Hour 11 Q3,Hour 11 Q4,Hour 12 Q1,Hour 12 Q2,Hour 12 Q3,Hour 12 Q4,Hour 13 Q1,Hour 13 Q2,Hour 13 Q3,Hour 13 Q4,Hour 14 Q1,Hour 14 Q2,Hour 14 Q3,Hour 14 Q4,Hour 15 Q1,Hour 15 Q2,Hour 15 Q3,Hour 15 Q4,Hour 16 Q1,Hour 16 Q2,Hour 16 Q3,Hour 16 Q4,Hour 17 Q1,Hour 17 Q2,Hour 17 Q3,Hour 17 Q4,Hour 18 Q1,Hour 18 Q2,Hour 18 Q3,Hour 18 Q4,Hour 19 Q1,Hour 19 Q2,Hour 19 Q3,Hour 19 Q4,Hour 20 Q1,Hour 20 Q2,Hour 20 Q3,Hour 20 Q4,Hour 21 Q1,Hour 21 Q2,Hour 21 Q3,Hour 21 Q4,Hour 22 Q1,Hour 22 Q2,Hour 22 Q3,Hour 22 Q4,Hour 23 Q1,Hour 23 Q2,Hour 23 Q3,Hour 23 Q4,Hour 24 Q1,Hour 24 Q2,Hour 24 Q3,Hour 24 Q4,Minimum,Maximum,Off-Peak,Baseload,Off-Peak 1,Peakload,Sun Peak,Off-Peak 2
20/06/2023,170.10,151.20,118.00,114.50,163.50,137.00,126.00,91.00,131.00,123.60,122.00,92.50,,,,,116.20,115.40,116.00,114.00,116.60,113.80,115.40,119.80,107.40,113.00,126.60,130.20,109.70,128.90,130.30,125.70,116.50,136.30,150.50,129.30,169.60,150.40,134.90,105.00,178.60,142.80,131.50,79.00,158.90,133.90,124.10,97.00,156.80,136.50,130.50,122.10,135.10,126.10,117.50,114.90,119.10,126.70,114.50,108.90,104.30,106.10,108.50,117.90,107.70,109.70,115.10,126.50,87.00,87.00,87.00,137.00,85.00,87.00,136.00,161.00,77.00,132.50,156.00,196.80,107.00,164.00,183.20,214.80,214.30,211.20,226.70,216.90,222.00,210.70,159.60,114.50,202.70,183.90,115.50,103.50,178.30,162.70,104.00,73.00,73.00,226.70,138.99,133.13,124.13,127.26,121.60,168.72
19/06/2023,148.20,149.90,101.50,96.50,136.50,119.70,91.45,90.90,69.30,67.85,90.00,104.80,,,,,70.30,76.80,121.50,98.90,58.20,87.60,69.85,90.90,90.90,102.25,109.40,123.00,100.00,111.40,118.40,116.80,109.50,114.60,149.60,143.90,153.60,138.00,119.40,94.50,168.00,150.40,87.50,62.00,126.40,115.20,99.80,79.00,105.80,114.00,107.40,103.00,117.60,115.40,122.65,119.25,64.85,89.95,85.60,78.00,34.00,37.50,68.40,82.40,40.90,72.00,78.95,90.90,90.90,90.90,118.80,149.00,75.00,91.50,152.80,172.10,71.00,103.00,176.80,188.20,108.10,165.20,199.80,213.00,179.40,230.80,228.00,228.40,236.40,222.80,172.00,136.40,211.50,193.20,178.40,105.50,184.20,174.90,108.60,83.50,34.00,236.40,129.26,119.72,104.08,110.18,89.54,179.63
18/06/2023,235.00,178.00,127.00,51.50,184.50,121.00,121.00,44.00,183.50,118.00,118.00,100.00,,,,,70.00,31.00,116.00,53.00,114.00,114.00,114.00,114.00,58.00,111.00,111.00,166.50,112.00,112.00,112.00,109.00,111.00,111.00,108.00,101.00,180.50,107.00,102.00,3.50,190.50,104.00,98.00,-24.50,172.50,68.50,59.50,-33.50,92.00,57.50,57.50,-30.00,120.00,53.50,53.50,-38.00,45.50,30.50,28.50,25.00,-49.00,21.50,25.00,76.00,-33.00,53.50,55.50,122.00,-29.00,68.50,102.00,181.00,100.00,100.00,26.00,80.00,100.00,175.00,33.00,80.00,100.00,175.00,46.00,90.00,234.50,220.00,220.00,146.00,265.00,259.00,142.50,121.50,261.00,220.00,220.00,109.00,158.00,170.00,170.00,170.00,-49.00,265.00,139.93,103.53,113.44,67.14,43.08,192.91
17/06/2023,147.80,135.60,110.40,84.60,156.40,131.20,114.00,77.90,127.60,124.40,122.00,114.40,,,,,128.40,122.40,124.80,118.40,130.90,110.00,125.20,82.80,95.20,98.80,116.40,123.60,98.60,111.60,116.00,137.40,130.40,122.40,103.60,80.90,165.40,143.70,67.50,135.00,55.00,55.00,63.30,26.50,136.60,138.20,33.90,18.90,101.20,99.60,76.00,22.60,101.80,77.20,13.00,12.90,47.40,55.60,51.60,27.00,2.20,11.80,46.20,49.80,4.30,12.80,92.60,89.30,6.60,39.00,88.00,152.30,135.00,135.00,55.00,55.00,135.00,139.90,96.50,96.50,96.40,124.40,151.20,182.00,139.20,160.40,167.20,173.60,217.40,189.20,157.60,126.80,170.40,164.00,147.60,103.90,197.70,152.00,138.80,84.20,2.20,217.40,129.46,103.50,116.38,77.54,55.10,155.63
16/06/2023,134.80,130.00,117.40,112.60,128.60,127.00,116.00,111.40,140.40,122.00,121.60,99.00,,,,,127.40,123.80,122.20,124.40,92.50,117.60,127.00,142.80,88.00,119.00,137.20,158.70,95.50,123.20,161.80,166.40,139.60,136.20,133.00,146.10,189.20,131.80,120.40,101.60,145.00,135.00,96.50,70.00,101.00,141.50,123.40,123.40,146.80,117.40,104.60,102.00,144.40,113.60,113.00,80.00,147.60,144.80,144.00,84.40,116.80,119.00,129.95,131.55,103.10,103.10,103.10,103.10,103.10,115.75,117.80,159.90,77.00,98.00,148.80,174.10,148.90,148.90,158.65,121.80,122.00,117.50,145.00,175.00,142.60,169.10,208.20,204.30,198.20,188.60,155.60,130.40,185.55,156.40,135.40,138.30,117.35,176.00,157.80,152.40,70.00,208.20,138.74,131.49,126.35,124.24,118.40,163.51
15/06/2023,152.10,132.10,94.50,95.00,122.50,119.50,91.50,83.00,98.00,94.50,93.50,83.00,,,,,92.50,100.50,115.90,121.30,83.00,90.50,119.10,134.50,78.00,91.50,137.60,136.80,126.10,144.80,129.70,128.50,125.60,125.00,168.20,109.50,188.10,139.20,112.00,88.50,168.60,126.50,96.00,78.00,93.30,139.60,114.00,114.00,138.80,123.70,101.50,88.00,123.00,96.50,106.10,83.00,84.00,121.10,112.90,83.00,106.30,108.70,83.00,83.00,117.10,114.30,93.00,109.50,107.30,106.30,110.00,125.50,115.40,115.40,148.70,94.40,78.00,93.00,112.90,148.00,83.20,113.30,192.20,203.30,147.60,205.30,196.50,200.00,175.00,202.10,184.30,158.50,175.00,180.50,124.40,131.50,179.10,146.80,103.00,83.50,78.00,205.30,129.39,121.79,113.06,114.19,105.73,162.07
14/06/2023,91.80,100.50,102.00,102.00,87.00,70.70,80.50,63.00,93.50,91.50,82.00,69.00,,,,,87.15,94.65,82.00,69.50,86.70,86.70,74.00,82.00,64.00,82.50,117.20,122.30,103.70,114.30,104.80,102.00,129.00,111.30,123.20,97.50,174.30,139.20,96.50,76.50,137.00,124.00,75.00,50.00,136.70,111.70,73.50,68.00,130.60,116.30,88.00,73.00,83.00,83.00,83.00,47.00,67.80,83.00,83.00,35.40,83.00,83.00,52.00,39.00,99.10,99.50,73.00,88.50,91.90,100.30,96.00,131.00,57.00,79.00,140.80,172.00,38.00,91.00,169.20,211.60,73.00,122.00,207.60,209.60,128.90,176.70,175.50,178.00,153.75,171.00,160.60,113.50,167.40,155.00,108.10,87.50,166.90,134.80,88.50,73.00,35.40,211.60,108.48,104.68,92.75,100.89,82.50,139.95
13/06/2023,97.80,108.30,98.00,102.00,100.80,112.30,80.60,80.60,115.10,86.80,82.30,71.00,,,,,88.80,96.50,91.30,64.00,70.00,80.60,84.80,87.80,59.00,82.30,125.60,125.20,66.00,92.30,119.00,124.50,98.30,125.30,139.20,96.30,147.00,149.20,113.00,84.00,164.80,144.90,81.30,160.00,20.00,45.20,93.60,93.60,132.30,121.60,73.80,47.50,116.70,53.20,38.40,11.20,91.40,84.10,23.50,8.60,46.20,31.90,8.80,12.80,47.00,51.20,28.70,49.60,29.00,61.00,52.80,79.00,93.10,96.55,116.15,76.20,28.00,46.00,91.40,129.00,40.80,70.70,139.80,153.70,99.70,139.00,152.00,153.50,126.40,135.00,145.00,116.50,128.00,110.00,100.50,83.50,133.00,85.20,84.50,33.00,8.60,164.80,101.61,89.12,95.39,76.63,55.45,114.05
12/06/2023,102.80,110.40,88.80,85.20,123.30,87.60,83.20,45.70,116.60,90.40,86.40,51.60,,,,,94.80,96.00,91.20,95.60,93.90,104.70,66.40,72.00,74.40,107.30,77.80,79.70,57.30,120.30,112.80,99.50,115.20,122.80,110.40,100.80,157.60,126.40,99.20,69.30,140.40,112.00,83.60,80.80,138.70,96.80,84.80,50.70,147.90,115.20,100.50,80.60,142.90,103.60,91.20,56.60,125.30,112.40,53.40,38.80,69.60,67.20,47.00,45.60,72.80,74.40,98.00,108.80,52.00,64.40,95.60,101.90,52.80,74.40,112.80,128.00,75.60,104.10,102.40,123.00,96.00,140.40,120.30,127.00,167.30,182.60,175.00,154.50,147.60,165.70,137.20,112.80,166.90,149.20,128.00,74.20,107.90,91.00,117.50,70.80,38.80,182.60,106.52,100.79,92.65,95.06,88.45,134.26
11/06/2023,61.70,74.80,99.50,89.20,74.80,82.40,118.90,89.50,68.80,59.70,95.90,81.70,,,,,65.20,50.70,93.60,96.60,54.40,47.80,55.60,54.80,45.20,46.00,64.40,53.20,42.00,47.40,57.20,39.00,81.90,52.80,41.40,6.80,86.80,64.80,35.00,21.00,78.00,51.60,27.00,18.40,57.20,43.40,19.80,16.80,72.00,66.00,52.00,44.20,62.80,55.20,54.40,39.40,39.40,31.60,30.60,19.60,22.40,30.00,36.40,37.00,-23.60,21.80,38.80,57.90,-53.00,0.00,31.00,82.40,-37.20,4.30,87.90,123.10,26.30,65.00,131.90,154.50,22.30,59.60,136.00,155.70,86.40,125.60,160.30,166.70,125.60,134.00,124.80,106.40,164.30,133.60,120.80,78.70,173.50,155.00,74.10,47.10,-53.00,173.50,84.79,66.33,65.40,47.86,38.55,123.56
