# 16/08/2023 01:13:19 PM: Prices - EPEX Spot Intraday Market Auction - 15-call_germany - Currency: EUR
Delivery day,Hour 1 Q1,Hour 1 Q2,Hour 1 Q3,Hour 1 Q4,Hour 2 Q1,Hour 2 Q2,Hour 2 Q3,Hour 2 Q4,Hour 3A Q1,Hour 3A Q2,Hour 3A Q3,Hour 3A Q4,Hour 3B Q1,Hour 3B Q2,Hour 3B Q3,Hour 3B Q4,Hour 4 Q1,Hour 4 Q2,Hour 4 Q3,Hour 4 Q4,Hour 5 Q1,Hour 5 Q2,Hour 5 Q3,Hour 5 Q4,Hour 6 Q1,Hour 6 Q2,Hour 6 Q3,Hour 6 Q4,Hour 7 Q1,Hour 7 Q2,Hour 7 Q3,Hour 7 Q4,Hour 8 Q1,Hour 8 Q2,Hour 8 Q3,Hour 8 Q4,Hour 9 Q1,Hour 9 Q2,Hour 9 Q3,Hour 9 Q4,Hour 10 Q1,Hour 10 Q2,Hour 10 Q3,Hour 10 Q4,Hour 11 Q1,Hour 11 Q2,Hour 11 Q3,Hour 11 Q4,Hour 12 Q1,Hour 12 Q2,Hour 12 Q3,Hour 12 Q4,Hour 13 Q1,Hour 13 Q2,Hour 13 Q3,Hour 13 Q4,Hour 14 Q1,Hour 14 Q2,Hour 14 Q3,Hour 14 Q4,Hour 15 Q1,Hour 15 Q2,Hour 15 Q3,Hour 15 Q4,Hour 16 Q1,Hour 16 Q2,Hour 16 Q3,Hour 16 Q4,Hour 17 Q1,Hour 17 Q2,Hour 17 Q3,Hour 17 Q4,Hour 18 Q1,Hour 18 Q2,Hour 18 Q3,Hour 18 Q4,Hour 19 Q1,Hour 19 Q2,Hour 19 Q3,Hour 19 Q4,Hour 20 Q1,Hour 20 Q2,Hour 20 Q3,Hour 20 Q4,Hour 21 Q1,Hour 21 Q2,Hour 21 Q3,Hour 21 Q4,Hour 22 Q1,Hour 22 Q2,Hour 22 Q3,Hour 22 Q4,Hour 23 Q1,Hour 23 Q2,Hour 23 Q3,Hour 23 Q4,Hour 24 Q1,Hour 24 Q2,Hour 24 Q3,Hour 24 Q4,Minimum,Maximum,Off-Peak,Baseload,Off-Peak 1,Peakload,Sun Peak,Off-Peak 2
17/08/2023,118.21,110.22,107.82,99.35,105.93,101.53,102.44,97.78,108.09,99.31,99.17,99.00,,,,,95.43,92.40,94.91,98.05,85.27,92.43,98.28,104.42,77.57,78.70,109.99,132.34,93.94,122.32,140.22,159.98,123.86,135.38,139.54,131.00,164.06,140.02,118.41,94.19,135.64,120.52,109.73,86.84,138.27,107.33,100.22,88.08,120.56,102.99,90.23,75.48,99.90,96.63,88.08,89.52,110.63,95.31,93.14,74.52,88.77,92.48,95.03,95.59,93.30,99.51,96.36,99.92,72.95,94.59,109.08,119.91,87.01,101.74,121.40,143.40,107.30,114.26,133.18,160.25,126.95,140.37,168.97,178.11,166.63,149.79,147.62,140.28,159.94,145.94,126.87,109.99,135.10,123.90,122.03,110.55,135.67,123.76,98.76,88.66,72.95,178.11,115.42,112.72,107.97,110.02,97.16,130.34
16/08/2023,120.63,115.81,112.25,108.97,107.56,105.07,105.98,100.66,99.40,101.66,103.09,105.58,,,,,96.55,93.44,100.06,105.43,93.09,100.33,105.65,107.63,87.18,96.70,115.47,139.48,111.77,129.75,144.77,144.74,164.94,163.59,151.48,143.99,164.92,144.71,124.20,88.57,132.04,118.24,114.95,104.77,136.41,109.30,107.86,90.85,129.10,109.08,99.43,84.40,108.97,96.04,87.97,93.42,109.62,99.80,84.80,77.04,77.79,93.42,98.81,109.19,89.87,98.56,109.49,109.92,79.56,98.62,109.08,129.55,97.94,101.40,120.85,139.47,97.27,119.33,141.46,165.00,127.45,144.89,164.97,180.70,242.36,162.73,144.83,120.76,168.62,144.79,134.07,112.51,149.93,125.88,114.44,103.94,120.89,108.88,101.28,101.77,77.04,242.36,121.67,117.31,115.08,112.94,100.46,134.86
15/08/2023,113.70,107.58,104.09,95.02,113.06,98.93,89.71,77.88,97.88,86.86,93.00,93.31,,,,,89.10,87.18,86.83,90.49,86.88,82.03,90.14,101.50,76.61,92.61,107.09,132.91,99.00,112.05,129.00,142.45,151.74,140.98,124.76,107.56,160.53,127.59,114.97,90.62,138.90,115.74,99.50,86.88,126.96,88.01,75.03,41.03,100.28,89.03,78.02,39.15,82.67,67.36,63.39,55.22,71.11,48.41,36.01,24.93,17.67,27.71,28.12,60.49,18.95,43.08,54.65,76.08,38.51,71.31,81.91,104.29,75.07,86.14,101.64,124.76,78.71,99.48,111.62,148.94,103.68,114.59,142.44,157.69,149.14,162.34,147.49,148.25,153.99,141.28,135.91,114.82,153.92,126.49,119.71,113.27,122.61,105.98,103.96,99.85,17.67,162.34,112.52,97.81,103.19,83.10,58.89,131.19
14/08/2023,113.30,109.27,104.10,97.00,106.46,103.26,97.33,94.92,99.99,90.42,90.15,88.00,,,,,88.62,93.99,98.14,105.09,88.99,100.26,108.76,112.38,92.07,95.11,139.05,165.06,96.96,128.93,156.12,157.99,183.92,172.86,143.04,122.69,181.80,142.71,112.14,82.06,146.57,106.98,96.95,77.90,113.62,99.61,80.82,56.01,99.10,83.94,73.00,47.53,84.22,65.26,64.35,58.95,70.08,68.84,59.63,57.81,52.07,64.30,72.71,83.61,50.97,71.23,81.99,99.92,75.02,76.80,99.44,107.92,87.07,99.78,109.81,151.34,82.04,104.31,142.77,194.90,145.44,164.64,188.52,360.78,265.83,184.27,169.91,155.47,190.95,153.14,142.76,115.63,201.27,127.71,106.55,90.87,145.19,109.13,102.25,91.84,47.53,360.78,124.94,113.48,113.88,102.03,73.32,147.05
13/08/2023,110.37,103.91,80.12,62.09,104.43,91.90,80.74,63.12,98.12,80.62,72.93,65.17,,,,,90.82,70.73,66.09,65.22,67.67,66.37,67.96,74.80,72.73,72.01,75.11,75.14,87.49,74.97,75.72,71.82,99.10,75.24,71.00,65.02,99.43,73.90,65.04,56.90,100.46,58.91,40.94,-15.11,70.96,34.13,14.78,-0.58,44.06,19.97,18.13,-20.88,55.02,10.55,-0.89,-24.01,13.93,-0.06,-1.55,0.07,-8.48,-4.37,7.25,30.97,-46.79,-6.77,26.46,83.14,-52.52,8.28,31.64,87.93,2.90,65.10,94.82,142.76,58.94,80.70,102.38,142.74,75.18,100.26,124.17,145.37,116.26,119.13,126.71,121.90,138.76,135.29,131.94,117.19,144.95,125.91,116.02,102.06,130.97,116.00,104.08,94.92,-52.52,145.37,92.51,67.15,78.08,41.80,13.13,121.38
12/08/2023,122.70,109.07,103.95,94.79,114.52,106.32,100.31,95.64,114.54,103.01,100.00,98.71,,,,,108.67,100.88,99.04,99.02,107.17,102.55,99.50,98.37,102.07,103.20,104.67,105.91,103.99,103.37,101.49,96.00,111.04,105.63,103.02,100.09,114.02,105.25,101.27,80.71,104.84,93.87,90.16,72.60,108.06,89.13,76.04,46.33,99.92,78.92,65.72,37.15,94.00,65.74,52.80,11.68,66.37,30.16,18.86,-3.98,19.99,10.11,7.05,4.98,-16.51,-2.91,16.74,62.28,-13.35,26.00,42.02,76.40,11.26,69.31,97.52,119.51,35.89,94.32,106.38,135.92,82.38,101.44,110.90,144.96,105.42,110.20,112.32,108.40,124.19,115.06,106.72,94.44,142.43,102.37,97.36,83.44,132.22,101.88,95.94,71.56,-16.51,144.96,104.65,84.01,103.73,63.38,43.28,106.50
11/08/2023,107.44,104.10,100.50,91.01,109.61,100.44,98.36,81.40,103.15,96.59,95.30,88.68,,,,,100.44,93.31,85.47,85.11,95.96,98.61,99.40,104.08,84.47,98.43,105.92,125.97,106.23,118.33,135.50,141.14,161.52,142.53,116.35,103.98,184.65,115.96,100.36,42.19,140.35,107.26,89.14,60.20,113.28,84.35,70.51,11.69,103.57,74.09,63.60,7.76,80.05,60.51,33.25,7.00,54.85,31.45,16.13,4.46,-2.70,20.49,37.23,62.19,23.50,56.68,66.93,87.92,34.52,82.67,81.76,116.09,28.57,80.96,113.48,137.90,46.90,96.72,111.73,167.70,109.73,126.99,142.46,193.19,201.77,177.17,155.07,156.80,172.24,148.60,126.94,108.22,164.95,126.67,109.80,94.18,118.01,113.70,113.70,101.78,-2.70,201.77,116.02,96.35,105.60,76.67,48.70,136.85
10/08/2023,94.20,102.03,105.50,99.47,106.63,99.50,90.90,88.01,97.65,92.88,89.62,91.03,,,,,89.23,82.02,83.13,83.12,81.37,83.89,91.91,109.19,69.05,88.04,107.30,126.38,103.17,139.32,154.14,164.58,212.54,219.31,193.08,156.52,207.94,133.02,108.71,53.37,145.37,98.76,92.61,53.25,136.85,87.21,75.00,27.26,81.92,77.03,65.90,35.10,85.00,70.25,54.56,29.33,68.89,49.73,33.01,-0.02,19.24,35.08,52.25,57.03,34.55,59.55,75.49,81.31,28.42,79.95,91.05,118.55,39.32,89.92,102.94,142.49,60.77,90.90,108.54,180.59,82.09,122.70,182.62,353.60,220.92,209.72,206.90,199.03,248.37,162.11,133.12,107.46,164.94,133.06,110.50,109.41,133.09,111.70,98.77,85.15,-0.02,353.60,125.60,106.12,112.33,86.65,57.98,152.14
09/08/2023,92.98,87.33,78.89,81.02,80.22,78.05,75.78,73.69,73.68,73.20,77.10,80.26,,,,,67.81,70.95,76.84,85.21,63.77,71.68,78.06,85.28,45.34,78.12,93.83,133.17,48.82,99.58,108.02,136.38,91.88,104.68,119.05,126.09,136.67,110.46,101.77,89.02,144.18,105.63,96.82,71.11,135.79,93.82,83.36,62.14,122.84,93.54,77.05,46.76,93.76,69.34,62.08,40.59,92.94,67.06,48.28,13.72,42.09,39.18,42.24,31.87,37.14,48.72,65.42,74.98,38.08,66.58,78.01,91.33,44.07,78.17,93.94,124.87,49.51,88.57,115.96,134.26,76.33,99.41,129.17,188.58,140.03,140.27,143.94,144.16,157.68,144.91,129.24,110.48,174.34,129.11,112.43,98.12,129.10,106.71,99.92,85.37,13.72,188.58,99.64,90.83,85.52,82.03,66.03,127.86
08/08/2023,31.98,8.77,-3.98,-13.97,13.33,1.97,-3.98,-3.99,3.89,1.94,1.99,3.38,,,,,0.07,-1.34,0.04,5.23,-9.79,-4.05,3.55,23.10,-28.88,-15.01,12.92,57.84,-18.30,0.17,27.14,60.08,42.37,32.23,18.14,4.47,103.41,43.95,-6.72,-69.94,70.09,23.89,-8.95,-50.05,54.99,1.96,-9.60,-34.55,10.56,4.97,-4.05,-28.28,9.59,-0.43,-15.69,-24.02,1.95,-0.47,-15.08,-30.81,-23.76,-18.64,-6.75,-2.05,-30.11,-15.02,1.39,10.28,-50.09,-20.54,10.46,27.93,-77.10,-20.20,31.30,79.19,-70.38,-10.85,44.60,81.02,50.34,72.08,88.09,132.01,87.98,84.10,89.78,95.69,108.56,95.04,86.40,79.33,95.58,81.43,75.12,68.50,90.12,70.46,54.43,39.58,-77.10,132.01,32.36,19.41,7.85,6.46,-6.82,81.38
